user;date;text;location;retweeter_usr
SoffaGeorge;Thu Feb 10 23:53:10 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";El Norte ;KatyaYushchenko
Jusez0r;Thu Feb 10 23:53:07 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";Rockledge, FL;KatyaYushchenko
SatyagrahAlba;Thu Feb 10 23:52:50 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Alba;KatyaYushchenko
DrSpock_PhD;Thu Feb 10 20:21:50 +0000 2022;"RT @10DowningStreet: The PM's message today:
 
▪️ Nations have a right to live safely, choose who governs them and decide their destiny.…";London, England;KatyaYushchenko
GoetersFourTwo;Thu Feb 10 20:21:40 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Over by there.;KatyaYushchenko
NutmegDense;Thu Feb 10 20:21:24 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Connecticut, USA;KatyaYushchenko
jordan_labiosa;Thu Feb 10 20:21:16 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;New Castle, VA;KatyaYushchenko
maurlind;Thu Feb 10 20:21:01 +0000 2022;"RT @BTnewsroom: ""The idea that NATO would put advanced missiles in Ukraine - Ukrainians know that doesn't make them safer. That means if a…";England, United Kingdom;KatyaYushchenko
Saintsfan5348;Thu Feb 10 20:20:59 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Your Conscience;KatyaYushchenko
Hobbit_Jigs;Thu Feb 10 20:20:55 +0000 2022;"RT @Danaslewis: The full interview with (Ret) Lt. Gen. Ben Hodges on the likelihood of war with #Ukraine and #Russia

The former Commander…";London, England;KatyaYushchenko
